Deer.ID,Sample.Date,Year,Month,Origin,Sample,Species,Sex,Age,County,grid,lat,long,status
,10/17/2002,2002,10,Free-Ranging,Active - Other,White Tailed Deer,Male,15,Frederick,NA,NA,NA,0
,12/16/2002,2002,12,Free-Ranging,Targeted-Clinical suspect,White Tailed Deer,Female,15,Frederick,NA,NA,NA,0
,7/28/2004,2004,7,Free-Ranging,Targeted-Clinical suspect,White Tailed Deer,Female,3,Shenandoah,NA,NA,NA,0
,10/7/2004,2004,10,Free-Ranging,Targeted-Clinical suspect,White Tailed Deer,Female,4,Clarke,NA,NA,NA,0
A1050,11/15/2004,2004,11,Free-Ranging,Active - Hunter Killed,White Tailed Deer,Male,1.5,Frederick,462,39.0887,-78.4149,0
A0992,11/29/2004,2004,11,Free-Ranging,Active - Hunter Killed,White Tailed Deer,Female,2,Shenandoah,120,38.8902,-78.6262,0
A0900,11/29/2004,2004,11,Free-Ranging,Active - Hunter Killed,White Tailed Deer,Male,1.5,Shenandoah,191,38.9604,-78.5125,0
A00185,9/13/2005,2005,9,Free-Ranging,Targeted-Clinical suspect,White Tailed Deer,Female,6.5,Warren,NA,NA,NA,0
A00003,9/18/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.6,Frederick,NA,NA,NA,0
A00005,9/22/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Frederick,NA,NA,NA,0
A00012,9/22/2005,2005,9,Free-Ranging,Active - Other,White Tailed Deer,Unknown,2,Shenandoah,NA,NA,NA,0
A00007,9/23/2005,2005,9,Free-Ranging,Active - Other,White Tailed Deer,Female,2,Shenandoah,NA,NA,NA,0
A00008,9/23/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Clarke,NA,NA,NA,0
A00009,9/27/2005,2005,9,Free-Ranging,Active - Other,White Tailed Deer,Female,3.5,Shenandoah,NA,NA,NA,0
A00010,9/27/2005,2005,9,Free-Ranging,Active - Other,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
A00011,9/27/2005,2005,9,Free-Ranging,Active - Other,White Tailed Deer,Female,2,Frederick,NA,NA,NA,0
A00013,9/27/2005,2005,9,Free-Ranging,Active - Other,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
A00014,9/27/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Frederick,NA,NA,NA,0
A00016,9/27/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,7,Frederick,NA,NA,NA,0
A00017,9/27/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,4,Clarke,NA,NA,NA,0
A00018,9/28/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00019,9/30/2005,2005,9,Free-Ranging,Active - Other,White Tailed Deer,Female,1.5,Clarke,NA,NA,NA,0
A00021,9/30/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,3,Clarke,NA,NA,NA,0
A00022,9/30/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
A00036,9/30/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00047,9/30/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00062,9/30/2005,2005,9,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00034,10/4/2005,2005,10,Free-Ranging,Targeted - Other,White Tailed Deer,Female,3,Shenandoah,NA,NA,NA,0
A00035,10/4/2005,2005,10,Free-Ranging,Targeted - Other,White Tailed Deer,Female,2,Shenandoah,NA,NA,NA,0
A00048,10/5/2005,2005,10,Free-Ranging,Active - Other,White Tailed Deer,Female,1.5,Clarke,NA,NA,NA,0
A00049,10/5/2005,2005,10,Free-Ranging,Active - Other,White Tailed Deer,Female,1.5,Clarke,NA,NA,NA,0
A00051,10/5/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
A00050,10/6/2005,2005,10,Free-Ranging,Targeted - Other,White Tailed Deer,Female,6,Shenandoah,NA,NA,NA,0
A00052,10/7/2005,2005,10,Free-Ranging,Active - Other,White Tailed Deer,Female,3,Frederick,NA,NA,NA,0
A00053,10/7/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.6,Frederick,NA,NA,NA,0
A00054,10/7/2005,2005,10,Free-Ranging,Active - Other,White Tailed Deer,Male,2,Frederick,NA,NA,NA,0
A00055,10/7/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,2,Clarke,NA,NA,NA,0
A00056,10/7/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1,Clarke,NA,NA,NA,0
A00057,10/7/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,3,Shenandoah,NA,NA,NA,0
A00059,10/12/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Shenandoah,NA,NA,NA,0
A00060,10/12/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00061,10/12/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,2,Frederick,NA,NA,NA,0
A00058,10/14/2005,2005,10,Enclosure,Targeted - Other,White Tailed Deer,Female,2,Shenandoah,NA,NA,NA,0
A00087,10/14/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Clarke,NA,NA,NA,0
A00064,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,4.5,Shenandoah,NA,NA,NA,0
A00066,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00067,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.6,Clarke,NA,NA,NA,0
A00068,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Clarke,NA,NA,NA,0
A00069,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00070,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00071,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Clarke,NA,NA,NA,0
A00072,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00073,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00074,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Clarke,NA,NA,NA,0
VA00067,10/19/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.6,Clarke,NA,NA,NA,0
A00075,10/20/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00076,10/20/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Shenandoah,NA,NA,NA,0
A00077,10/20/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
A00078,10/20/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Frederick,NA,NA,NA,0
A00079,10/20/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Frederick,NA,NA,NA,0
